LCLid,tstp,energy(kWh/hh)
MAC000010,2013-01-01 00:00:00.0000000, 0.509 
MAC000010,2013-01-01 00:30:00.0000000, 0.453 
MAC000010,2013-01-01 01:00:00.0000000, 0.5 
MAC000010,2013-01-01 01:30:00.0000000, 0.621 
MAC000010,2013-01-01 02:00:00.0000000, 0.197 
MAC000010,2013-01-01 02:30:00.0000000, 0.176 
MAC000010,2013-01-01 03:00:00.0000000, 0.21 
MAC000010,2013-01-01 03:30:00.0000000, 0.211 
MAC000010,2013-01-01 04:00:00.0000000, 0.151 
MAC000010,2013-01-01 04:30:00.0000000, 0.152 
MAC000010,2013-01-01 05:00:00.0000000, 0.236 
MAC000010,2013-01-01 05:30:00.0000000, 0.214 
MAC000010,2013-01-01 06:00:00.0000000, 0.184 
MAC000010,2013-01-01 06:30:00.0000000, 0.205 
MAC000010,2013-01-01 07:00:00.0000000, 0.245 
MAC000010,2013-01-01 07:30:00.0000000, 0.207 
MAC000010,2013-01-01 08:00:00.0000000, 0.208 
MAC000010,2013-01-01 08:30:00.0000000, 0.495 
MAC000010,2013-01-01 09:00:00.0000000, 0.267 
MAC000010,2013-01-01 09:30:00.0000000, 0.245 
MAC000010,2013-01-01 10:00:00.0000000, 0.409 
MAC000010,2013-01-01 10:30:00.0000000, 0.345 
MAC000010,2013-01-01 11:00:00.0000000, 1.29 
MAC000010,2013-01-01 11:30:00.0000000, 0.827 
MAC000010,2013-01-01 12:00:00.0000000, 0.284 
MAC000010,2013-01-01 12:30:00.0000000, 1.198 
MAC000010,2013-01-01 13:00:00.0000000, 0.278 
MAC000010,2013-01-01 13:30:00.0000000, 0.337 
MAC000010,2013-01-01 14:00:00.0000000, 0.319 
MAC000010,2013-01-01 14:30:00.0000000, 0.259 
MAC000010,2013-01-01 15:00:00.0000000, 0.311 
MAC000010,2013-01-01 15:30:00.0000000, 1.2869999 
MAC000010,2013-01-01 16:00:00.0000000, 1.2819999 
MAC000010,2013-01-01 16:30:00.0000000, 2.0350001 
MAC000010,2013-01-01 17:00:00.0000000, 2.1400001 
MAC000010,2013-01-01 17:30:00.0000000, 1.3430001 
MAC000010,2013-01-01 18:00:00.0000000, 1.345 
MAC000010,2013-01-01 18:30:00.0000000, 2.3099999 
MAC000010,2013-01-01 19:00:00.0000000, 1.3329999 
MAC000010,2013-01-01 19:30:00.0000000, 0.614 
MAC000010,2013-01-01 20:00:00.0000000, 0.674 
MAC000010,2013-01-01 20:30:00.0000000, 1.5420001 
MAC000010,2013-01-01 21:00:00.0000000, 1.025 
MAC000010,2013-01-01 21:30:00.0000000, 0.695 
MAC000010,2013-01-01 22:00:00.0000000, 1.1950001 
MAC000010,2013-01-01 22:30:00.0000000, 0.686 
MAC000010,2013-01-01 23:00:00.0000000, 0.691 
MAC000010,2013-01-01 23:30:00.0000000, 0.59 
MAC000010,2013-01-02 00:00:00.0000000, 0.737 
MAC000010,2013-01-02 00:30:00.0000000, 0.561 
MAC000010,2013-01-02 01:00:00.0000000, 0.284 
MAC000010,2013-01-02 01:30:00.0000000, 0.202 
MAC000010,2013-01-02 02:00:00.0000000, 0.238 
MAC000010,2013-01-02 02:30:00.0000000, 0.192 
MAC000010,2013-01-02 03:00:00.0000000, 0.159 
MAC000010,2013-01-02 03:30:00.0000000, 0.199 
MAC000010,2013-01-02 04:00:00.0000000, 0.184 
MAC000010,2013-01-02 04:30:00.0000000, 0.15 
MAC000010,2013-01-02 05:00:00.0000000, 0.2 
MAC000010,2013-01-02 05:30:00.0000000, 0.227 
